id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747407,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:05:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747406,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:06:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747405,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:07:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747404,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:08:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747403,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:09:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747402,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:10:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747401,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:11:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747400,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:12:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747399,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:13:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747398,1,1815,1815,1815,1815,0,37960,001020,"2021-10-12 12:14:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747397,1,1805,1805,1805,1805,1,37961,001020,"2021-10-12 12:15:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747396,1,1805,1805,1805,1805,0,37961,001020,"2021-10-12 12:16:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747395,1,1800,1800,1800,1800,494,38455,001020,"2021-10-12 12:17:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747394,1,1800,1800,1800,1800,59,38514,001020,"2021-10-12 12:18:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747393,1,1795,1795,1795,1795,172,38686,001020,"2021-10-12 12:19:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747392,1,1790,1790,1790,1790,785,39471,001020,"2021-10-12 12:20:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747391,1,1790,1790,1790,1790,0,39471,001020,"2021-10-12 12:21:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747390,1,1790,1790,1790,1790,576,40047,001020,"2021-10-12 12:22:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747389,1,1790,1790,1790,1790,100,40147,001020,"2021-10-12 12:23:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747388,1,1790,1790,1790,1790,0,40147,001020,"2021-10-12 12:24:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747387,1,1785,1790,1785,1790,863,41010,001020,"2021-10-12 12:25:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747386,1,1805,1805,1805,1805,1,41011,001020,"2021-10-12 12:26:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747385,1,1800,1800,1800,1800,6,41017,001020,"2021-10-12 12:27:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
